nom_clean,nom_gare,x,y,Trafic,Ville
CROIXDECHAVAUX,Croix de Chavaux (Jacques Duclos),658586.0485,6862140.1552,5210557,Montreuil
DANUBE,Danube,655516.8981,6864827.9634,566268,Paris
DAUMESNIL,Daumesnil,655646.4124,6860114.1078,5317608,Paris
DENFERTROCHEREAU,Denfert-Rochereau,650946.0738,6859473.8194,4401791,Paris
DUGOMMIER,Dugommier,655199.4896,6860061.0017,2836152,Paris
DUPLEIX,Dupleix,648164.2594,6861386.5825,4092602,Paris
DUROC,Duroc,649877.4993,6860988.3813,3645141,Paris
ECOLEMILITAIRE,École Militaire,649084.5508,6861850.7519,4638136,Paris
ECOLEVETERINAIREDEMAISONSALFORT,École Vétérinaire de Maisons-Alfort,657583.9566,6857347.8995,3520624,Maisons -Alfort
EDGARQUINET,Edgar Quinet,650559.8002,6860279.0962,2364420,Paris
EGLISEDAUTEUIL,Église d'Auteuil,646364.8036,6861037.7277,182153,Paris
EGLISEDEPANTIN,Église de Pantin,656983.2711,6866076.3042,4056872,Pantin
ESPLANADEDELADEFENSE,Esplanade de la Défense,644852.7454,6865664.6753,10255121,Puteaux
ETIENNEMARCEL,Étienne Marcel,652232.0865,6862838.6691,2907953,Paris
EUROPE,Europe,650293.8318,6864518.8631,1694103,Paris
EXELMANS,Exelmans,645692.4042,6860575.6926,2152072,Paris
FAIDHERBECHALIGNY,Faidherbe Chaligny,654803.4286,6861302.4487,3206635,Paris
FALGUIERE,Falguière,649937.2765,6860707.7605,912582,Paris
FELIXFAURE,Félix Faure,648031.8468,6860532.9003,1865477,Paris
FILLESDUCALVAIRE,Filles du Calvaire,653535.9904,6862766.9605,1718975,Paris
FORTDAUBERVILLIERS,Fort d'Aubervilliers,656348.6195,6868493.2879,4165208,Aubervilliers
FRANKLINDROOSEVELT,Franklin D.Roosevelt,649348.2201,6863407.2048,10705337,Paris
FRONTPOPULAIRE,Front Populaire,653520.3175,6867583.1321,2877264,Saint Denis / Aubervilliers
GABRIELPERI,Gabriel Péri-Asnières-Gennevilliers,648308.4732,6868718.8268,5405121,Asnières
GAITE,Gaïté,650272.1513,6860055.6505,2995328,Paris
GALLIENI,Gallieni (Parc de Bagnolet),657208.4603,6862969.6694,5841623,Bagnolet
GAMBETTA,Gambetta,655908.7036,6862932.8653,7137504,Paris
GAREDAUSTERLITZ,Gare d'Austerlitz,653420.212,6860433.5551,10443637,Paris
GAREDELEST,Gare de l'Est,652916.6085,6864219.2029,21432041,Paris
GAREDELYON,Gare de Lyon,654129.8636,6860846.2479,36864326,Paris
GAREDUNORD,Gare du Nord,652875.9451,6864617.3479,45793828,Paris
GARIBALDI,Garibaldi,651021.0832,6867551.1312,3692242,Saint Ouen
GEORGEV,George-V,648695.3653,6863782.5778,6380669,Paris
GLACIERE,Glacière,651808.0022,6859208.4674,4863838,Paris
GONCOURT,Goncourt (Hôpital Saint-Louis),653867.1922,6863509.3023,3420469,Paris
GRANDSBOULEVARDS,Grands Boulevards (Rue Montmartre),651819.1431,6863697.2503,7416725,Paris
GUYMOQUET,Guy Môquet,650685.8186,6866078.8433,4593098,Paris
HAVRECAUMARTIN,Havre-Caumartin,650675.9316,6863931.0147,7865303,Paris
HOCHE,Hoche,656177.9025,6865856.7161,5185130,Pantin
HOTELDEVILLE,Hôtel de Ville,652424.1554,6862133.2583,11467832,Paris
IENA,Iéna,648218.8598,6862982.8662,2506768,Paris
INVALIDES,Invalides,649665.1809,6862699.9731,6411555,Paris
JACQUESBONSERGENT,Jacques Bonsergent,653129.4916,6863610.0193,2596218,Paris
JASMIN,Jasmin,646299.9369,6861633.6924,2103952,Paris
JAURES,Jaurès,653872.0243,6864975.9922,6261040,Paris
JAVELANDRECITROEN,Javel-André Citroën,646993.0906,6860917.8132,3042409,Paris
JOURDAIN,Jourdain,655215.4591,6864071.8789,3467807,Paris
JULESJOFFRIN,Jules Joffrin,651948.6586,6866024.9374,4677666,Paris
JUSSIEU,Jussieu,652668.4784,6860849.4399,4684325,Paris
KLEBER,Kléber,648178.897,6863745.5821,1357710,Paris
LACHAPELLE,La Chapelle,653102.402,6865121.3253,6976673,Paris
LACOURNEUVEMAI,La Courneuve 8 Mai 1945,656807.0911,6869138.86,5962052,La Courneuve
LADEFENSE,La Défense - Grande Arche,644056.2663,6866067.7406,15954978,Puteaux
LAFOURCHE,La Fourche,650559.5701,6865452.1927,2814675,Paris
LAMARCKCAULAINCOURT,Lamarck-Caulaincourt,651513.7584,6865721.0309,2843167,Paris
LAMOTTEPICQUETGRENELLE,La Motte Picquet-Grenelle,648552.855,6861194.8727,7959759,Paris
LAMUETTE,La Muette,646744.2368,6862245.8558,4150248,Paris
LATOURMAUBOURG,La Tour Maubourg,649415.3796,6862186.2617,2218166,Paris
LAUMIERE,Laumière,654509.0245,6865200.9983,4556699,Paris
LEDRUROLLIN,Ledru Rollin,654219.2941,6861428.6032,3977633,Paris
LEKREMLINBICETRE,Le Kremlin-Bicêtre,653165.655,6856862.2879,4447608,Kremlin-Bicêtre
LEPELETIER,Le Peletier,651605.5387,6864074.5114,2510950,Paris
LESAGNETTES,Les Agnettes-Asnières-Gennevilliers,647699.216,6869471.7685,2448699,Asnières sur Seine
LESGOBELINS,Les Gobelins,652478.6539,6859729.3272,3595435,Paris
